codigo_ibge,nome_cidade,latitude_cidade,longitude_cidade,capital,codigo_uf,siafi_id,ddd,fuso_horario,uf,nome_estado,latitude_estado,longitude_estado,regiao,POPULACAO,CO_REGIAO_INTERMEDIARIA,NO_REGIAO_INTERMEDIARIA,CO_REGIAO_IMEDIATA,NO_REGIAO_IMEDIATA,CO_MESORREGIAO,NO_MESORREGIAO,CO_MICRORREGIAO,NO_MICRORREGIAO
5200050,Abadia de Goiás,-16.7573,-49.4412,0,52,1050,62,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste,5324826,5201,Goiânia,520001,Goiânia,3,Centro Goiano,10,Goiânia
5200100,Abadiânia,-16.197,-48.7057,0,52,9201,62,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste,5325826,5201,Goiânia,520002,Anápolis,4,Leste Goiano,12,Entorno de Brasília
5200134,Acreúna,-17.396,-50.3749,0,52,9645,64,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste,5326826,5204,São Luís de Montes Belos - Iporá,520015,Palmeiras de Goiás,5,Sul Goiano,14,Vale do Rio dos Bois
5200159,Adelândia,-16.4127,-50.1657,0,52,9769,64,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste,5327826,5201,Goiânia,520003,Inhumas - Itaberaí - Anicuns,3,Centro Goiano,9,Anicuns
5200175,Água Fria de Goiás,-14.9778,-47.7823,0,52,9771,62,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste,5328826,5206,Luziânia - Águas Lindas de Goiás,520022,Flores de Goiás,4,Leste Goiano,12,Entorno de Brasília
5200209,Água Limpa,-18.0771,-48.7603,0,52,9203,64,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste,5329826,5202,Itumbiara,520008,Caldas Novas-Morrinhos,5,Sul Goiano,15,Meia Ponte
5200258,Águas Lindas de Goiás,-15.7617,-48.2816,0,52,1052,61,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste,5330826,5206,Luziânia - Águas Lindas de Goiás,520020,Águas Lindas de Goiás,4,Leste Goiano,12,Entorno de Brasília
5200308,Alexânia,-16.0834,-48.5076,0,52,9205,62,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste,5331826,5201,Goiânia,520002,Anápolis,4,Leste Goiano,12,Entorno de Brasília
5200506,Aloândia,-17.7292,-49.4769,0,52,9209,64,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste,5332826,5202,Itumbiara,520007,Itumbiara,5,Sul Goiano,15,Meia Ponte
5200555,Alto Horizonte,-14.1978,-49.3378,0,52,85,62,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste,5333826,5205,Porangatu - Uruaçu,520017,Uruaçu - Niquelândia,2,Norte Goiano,4,Porangatu
