NU_ANO_CENSO|NO_REGIAO_IES|CO_REGIAO_IES|NO_UF_IES|SG_UF_IES|CO_UF_IES|NO_MUNICIPIO_IES|IN_CAPITAL_IES|NO_MESORREGIAO_IES|CO_MESORREGIAO_IES|NO_MICRORREGIAO_IES|CO_MICRORREGIAO_IES|TP_ORGANIZACAO_ACADEMICA|Tipo_Org_Acad|Tipo_Org_Principal|TP_CATEGORIA_ADMINISTRATIVA|Tipo_Cat_Admn|NO_MANTENEDORA|CO_MANTENEDORA|CO_IES|NO_IES|SG_IES|DS_ENDERECO_IES|DS_NUMERO_ENDERECO_IES|DS_COMPLEMENTO_ENDERECO_IES|NO_BAIRRO_IES|NU_CEP_IES|QT_TEC_TOTAL|QT_TEC_FUNDAMENTAL_INCOMP_FEM|QT_TEC_FUNDAMENTAL_INCOMP_MASC|QT_TEC_FUNDAMENTAL_COMP_FEM|QT_TEC_FUNDAMENTAL_COMP_MASC|QT_TEC_MEDIO_FEM|QT_TEC_MEDIO_MASC|QT_TEC_SUPERIOR_FEM|QT_TEC_SUPERIOR_MASC|QT_TEC_ESPECIALIZACAO_FEM|QT_TEC_ESPECIALIZACAO_MASC|QT_TEC_MESTRADO_FEM|QT_TEC_MESTRADO_MASC|QT_TEC_DOUTORADO_FEM|QT_TEC_DOUTORADO_MASC|IN_ACESSO_PORTAL_CAPES|IN_ACESSO_OUTRAS_BASES|IN_ASSINA_OUTRA_BASE|IN_REPOSITORIO_INSTITUCIONAL|IN_BUSCA_INTEGRADA|IN_SERVICO_INTERNET|IN_PARTICIPA_REDE_SOCIAL|IN_CATALOGO_ONLINE|QT_PERIODICO_ELETRONICO|QT_LIVRO_ELETRONICO|QT_DOC_TOTAL|QT_DOC_EXE|QT_DOC_EX_FEMI|QT_DOC_EX_MASC|QT_DOC_EX_SEM_GRAD|QT_DOC_EX_GRAD|QT_DOC_EX_ESP|QT_DOC_EX_MEST|QT_DOC_EX_DOUT|QT_DOC_EX_INT|QT_DOC_EX_INT_DE|QT_DOC_EX_INT_SEM_DE|QT_DOC_EX_PARC|QT_DOC_EX_HOR|QT_DOC_EX_0_29|QT_DOC_EX_30_34|QT_DOC_EX_35_39|QT_DOC_EX_40_44|QT_DOC_EX_45_49|QT_DOC_EX_50_54|QT_DOC_EX_55_59|QT_DOC_EX_60_MAIS|QT_DOC_EX_BRANCA|QT_DOC_EX_PRETA|QT_DOC_EX_PARDA|QT_DOC_EX_AMARELA|QT_DOC_EX_INDIGENA|QT_DOC_EX_COR_ND|QT_DOC_EX_BRA|QT_DOC_EX_EST|QT_DOC_EX_COM_DEFICIENCIA|COD_IBGE|LAT|LNG|POP_IBGE_2013|POP_IBGE_2022|CAPITAL|Pop_total|Pop_urbana|Pop_total_dom_part|Pop_total_dom_part_exc_renda_nula|TIPO_INST
2022|Centro-Oeste|5|Mato Grosso|MT|51|Cuiabá|1|Centro-Sul Mato-grossense|4|Cuiabá|17|1|Universidade|Faculdade|1|Pública Federal|FUNDACAO UNIVERSIDADE FEDERAL DE MATO GROSSO|1|1|UNIVERSIDADE FEDERAL DE MATO GROSSO|UFMT|Avenida Fernando Correa da Costa|2367|Cidade Universitária|Boa Esperança|78060900|1379|2|19|2|14|32|67|123|141|313|316|170|105|45|30|1|0|1|1|1|1|1|1|0|46094|1738|1637|819|818|0|62|68|205|1302|1585|1313|272|52|0|49|170|313|350|247|182|143|183|1023|85|431|43|8|47|1609|28|6|5103403|-15.56998901|-56.07325204|569830|694244|1|551098|540814|547297|546748|Pública
2022|Centro-Oeste|5|Mato Grosso|MT|51|Cuiabá|1|Centro-Sul Mato-grossense|4|Cuiabá|17|1|Universidade|Faculdade|4|Privada com fins lucrativos|PITAGORAS - SISTEMA DE EDUCACAO SUPERIOR SOCIEDADE LTDA|1204|780|UNIVERSIDADE DE CUIABÁ|UNIC/UNIME|Avenida Manoel José de Arruda|3100|UNIC - Beira Rio I (SEDE)|Jardim Europa|78065900|121|0|0|0|1|17|34|10|12|11|13|9|9|3|2|0|0|1|1|1|1|1|1|60395|238009|374|374|200|174|0|0|128|146|100|124|0|124|178|72|20|56|51|63|60|54|25|45|238|20|105|11|0|0|374|0|4|5103403|-15.56998901|-56.07325204|569830|694244|1|551098|540814|547297|546748|Privada
2022|Centro-Oeste|5|Mato Grosso|MT|51|Cuiabá|1|Centro-Sul Mato-grossense|4|Cuiabá|17|2|Centro Universitário|Centro Universitário|4|Privada com fins lucrativos|EDITORA E DISTRIBUIDORA EDUCACIONAL S/A|14514|1233|CENTRO UNIVERSITÁRIO UNIC||Avenida Manoel José de Arruda|3001|- de 2865/2866 a 3550/3551|Jardim Europa|78065443|324|0|0|0|1|30|52|102|42|42|13|17|15|6|4|0|0|1|1|1|1|1|1|60395|238009|96|96|37|59|0|0|37|22|37|8|0|8|57|31|5|10|11|20|13|11|9|17|58|6|31|1|0|0|96|0|1|5103403|-15.56998901|-56.07325204|569830|694244|1|551098|540814|547297|546748|Privada
2022|Centro-Oeste|5|Mato Grosso|MT|51|Cuiabá|1|Centro-Sul Mato-grossense|4|Cuiabá|17|3|Faculdade|Faculdade|5|Privada sem fins lucrativos|ASSOCIACAO DOM AQUINO CORREA - ADAC|14981|1941|FACULDADE CUIABÁ|FAUC|Rua Pimenta Bueno|534|Faculdade Católica de Cuiabá|Dom Aquino|78015190|27|1|0|2|1|7|1|4|2|5|1|0|3|0|0|0|0|1|0|1|1|0|1|372|12215|31|30|12|18|0|0|5|22|3|5|0|5|18|7|1|5|7|5|3|6|2|1|9|0|15|0|0|6|30|0|1|5103403|-15.56998901|-56.07325204|569830|694244|1|551098|540814|547297|546748|Privada
2022|Centro-Oeste|5|Mato Grosso|MT|51|Cuiabá|1|Centro-Sul Mato-grossense|4|Cuiabá|17|3|Faculdade|Faculdade|4|Privada com fins lucrativos|ASSUPERO ENSINO SUPERIOR LTDA.|2415|1996|INSTITUTO CUIABÁ DE ENSINO E CULTURA|ICEC|Rua Osvaldo da Silva Corrêa|621|-|Bairro Santa Marta|78048005|27|0|0|7|1|5|1|2|2|9|0|0|0|0|0|0|0|0|0|1|1|1|1|350|23000|28|25|14|11|0|0|12|7|6|4|0|4|11|10|0|2|4|12|3|3|0|1|17|0|7|0|0|1|25|0|0|5103403|-15.56998901|-56.07325204|569830|694244|1|551098|540814|547297|546748|Privada
2022|Centro-Oeste|5|Mato Grosso|MT|51|Cuiabá|1|Centro-Sul Mato-grossense|4|Cuiabá|17|3|Faculdade|Faculdade|5|Privada sem fins lucrativos|ASSOCIACAO DOM AQUINO CORREA - ADAC|14981|2330|Faculdade Cândido Rondon|FCR|Avenida Beira Rio|3.045|-|Jardim Europa|78028420|4|1|1|0|0|1|0|1|0|0|0|0|0|0|0|0|0|1|0|1|1|0|1|372|12215|18|18|7|11|0|0|5|12|1|1|0|1|9|8|0|1|2|5|5|3|2|0|4|1|5|0|0|8|18|0|0|5103403|-15.56998901|-56.07325204|569830|694244|1|551098|540814|547297|546748|Privada
2022|Centro-Oeste|5|Mato Grosso|MT|51|Cuiabá|1|Centro-Sul Mato-grossense|4|Cuiabá|17|4|Instituto Federal de Educação, Ciência e Tecnologia|Outros|1|Pública Federal|INSTITUTO FEDERAL DE MATO GROSSO|9061|3164|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MATO GROSSO|IFMT|Avenida Senador Filinto Müller|953|- de 603/604 a 1143/1144|Duque de Caxias II|78043400|781|0|0|0|1|2|16|58|110|217|174|119|69|9|6|1|0|0|1|1|1|0|1|1500|2000|801|801|292|509|0|0|672|61|68|801|801|0|0|0|26|117|215|156|110|72|56|49|314|4|21|0|0|462|799|2|0|5103403|-15.56998901|-56.07325204|569830|694244|1|551098|540814|547297|546748|Pública
2022|Centro-Oeste|5|Mato Grosso|MT|51|Cuiabá|1|Centro-Sul Mato-grossense|4|Cuiabá|17|3|Faculdade|Faculdade|5|Privada sem fins lucrativos|INSTITUTO INVEST DE EDUCACAO CONSULTORIA E ASSESSORIA LTDA|16364|3303|Faculdade Invest de Ciências e Tecnologia|INVEST|Rua Adauto Botelho|55|CAMPUS COXIPO|Coophema|78085200|24|1|2|2|0|3|2|4|2|4|3|0|1|0|0|1|0|1|1|1|1|1|0|12|12|43|43|18|25|0|0|4|34|5|9|5|4|16|18|4|8|7|6|3|7|4|4|26|4|12|0|0|1|43|0|0|5103403|-15.56998901|-56.07325204|569830|694244|1|551098|540814|547297|546748|Privada
2022|Centro-Oeste|5|Mato Grosso|MT|51|Cuiabá|1|Centro-Sul Mato-grossense|4|Cuiabá|17|3|Faculdade|Faculdade|4|Privada com fins lucrativos|FAC EDUCACIONAL LTDA|16349|3648|INSTITUTO DE ENSINO SUPERIOR DE CUIABÁ||Avenida Fernando Correa da Costa|374|Instituto de Ensino Superior de Cuiabá - FAC|Poção|78015600|9|0|0|1|0|1|1|3|0|1|2|0|0|0|0|1|0|0|1|1|1|0|1|34066|2259|27|27|11|16|0|0|6|7|14|5|0|5|21|1|1|3|6|2|7|1|2|5|22|0|4|1|0|0|27|0|0|5103403|-15.56998901|-56.07325204|569830|694244|1|551098|540814|547297|546748|Privada
2022|Centro-Oeste|5|Mato Grosso|MT|51|Cuiabá|1|Centro-Sul Mato-grossense|4|Cuiabá|17|3|Faculdade|Faculdade|5|Privada sem fins lucrativos|SENAI - SERVICO NACIONAL DE APRENDIZAGEM INDUSTRIAL|3479|10116|FACULDADE DE TECNOLOGIA SENAI MATO GROSSO|FATEC SENAI MT|Avenida XV de Novembro|303|-|Porto|78020300|16|0|0|0|0|0|1|4|4|4|3|0|0|0|0|1|0|1|1|1|1|1|1|62|0|33|33|7|26|0|0|6|20|7|12|0|12|18|3|4|7|7|7|6|0|2|0|19|1|9|1|0|3|33|0|0|5103403|-15.56998901|-56.07325204|569830|694244|1|551098|540814|547297|546748|Privada
