NO_REGIAO_IES|NO_UF_IES|SG_UF_IES|TP_ORGANIZACAO_ACADEMICA|TP_CATEGORIA_ADMINISTRATIVA|NO_IES|SG_IES|QT_DOC_TOTAL|QT_DOC_EXE|QT_DOC_EX_FEMI|QT_DOC_EX_MASC|QT_DOC_EX_SEM_GRAD|QT_DOC_EX_GRAD|QT_DOC_EX_ESP|QT_DOC_EX_MEST|QT_DOC_EX_DOUT|QT_DOC_EX_INT|QT_DOC_EX_INT_DE|QT_DOC_EX_INT_SEM_DE|QT_DOC_EX_PARC|QT_DOC_EX_HOR|QT_DOC_EX_0_29|QT_DOC_EX_30_34|QT_DOC_EX_35_39|QT_DOC_EX_40_44|QT_DOC_EX_45_49|QT_DOC_EX_50_54|QT_DOC_EX_55_59|QT_DOC_EX_60_MAIS|QT_DOC_EX_BRANCA|QT_DOC_EX_PRETA|QT_DOC_EX_PARDA|QT_DOC_EX_AMARELA|QT_DOC_EX_INDIGENA|QT_DOC_EX_COR_ND|QT_DOC_EX_BRA|QT_DOC_EX_EST|QT_DOC_EX_COM_DEFICIENCIA
Centro-Oeste|Mato Grosso|MT|1|1|UNIVERSIDADE FEDERAL DE MATO GROSSO|UFMT|1738|1637|819|818|0|62|68|205|1302|1585|1313|272|52|0|49|170|313|350|247|182|143|183|1023|85|431|43|8|47|1609|28|6
Centro-Oeste|Distrito Federal|DF|1|1|UNIVERSIDADE DE BRASÍLIA|UNB|2977|2886|1340|1546|0|18|25|235|2608|2728|2435|293|158|0|40|170|325|554|505|374|412|506|1848|94|474|59|9|402|2731|155|17
Nordeste|Sergipe|SE|1|1|UNIVERSIDADE FEDERAL DE SERGIPE|UFS|1793|1749|834|915|0|81|0|227|1441|1622|1441|181|127|0|32|132|283|346|318|248|194|196|206|31|266|13|2|1231|1719|30|1
Norte|Amazonas|AM|1|1|UNIVERSIDADE FEDERAL DO AMAZONAS|UFAM|2169|1718|758|960|0|79|125|401|1113|1609|1355|254|109|0|77|160|272|308|242|231|228|200|110|12|141|6|2|1447|1718|0|1
Nordeste|Piauí|PI|1|1|UNIVERSIDADE FEDERAL DO PIAUÍ|UFPI|1695|1482|716|766|0|0|77|275|1130|1384|1195|189|98|0|26|131|269|308|202|156|151|239|133|44|232|1|2|1070|1482|0|0
Sudeste|Minas Gerais|MG|1|1|UNIVERSIDADE FEDERAL DE OURO PRETO|UFOP|905|836|336|500|0|3|14|76|743|830|778|52|6|0|1|40|182|195|134|102|108|74|408|23|148|5|2|250|834|2|2
Sudeste|São Paulo|SP|1|1|UNIVERSIDADE FEDERAL DE SÃO CARLOS|UFSCAR|1353|1353|606|747|0|1|3|48|1301|1298|1272|26|55|0|2|50|163|282|229|203|180|244|788|13|76|29|2|445|1324|29|8
Sudeste|Minas Gerais|MG|1|1|UNIVERSIDADE FEDERAL DE VIÇOSA|UFV|1307|1307|533|774|0|12|23|126|1146|1254|1171|83|53|0|36|112|232|281|189|116|173|168|443|27|106|6|2|723|1282|25|0
Sul|Paraná|PR|1|2|UNIVERSIDADE ESTADUAL DE LONDRINA|UEL|1716|1657|862|795|0|13|52|313|1279|1164|929|235|490|3|35|161|227|261|228|260|253|232|1370|22|126|79|2|58|1644|13|50
Sul|Paraná|PR|1|5|PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ|PUCPR|1317|1313|579|734|0|0|32|528|753|451|0|451|708|154|23|127|175|239|200|210|146|193|1067|11|27|25|1|182|1307|6|13
Nordeste|Pernambuco|PE|1|5|UNIVERSIDADE CATÓLICA DE PERNAMBUCO|UNICAP|517|509|235|274|0|0|39|192|278|176|0|176|120|213|8|42|70|64|77|66|68|114|347|18|143|1|0|0|505|4|2
Sul|Rio Grande do Sul|RS|1|1|UNIVERSIDADE FEDERAL DO RIO GRANDE|FURG|985|972|473|499|0|5|15|104|848|954|827|127|18|0|12|77|163|203|169|135|93|120|799|20|72|8|5|68|940|32|9
Sul|Rio Grande do Sul|RS|1|5|UNIVERSIDADE DE CAXIAS DO SUL|UCS|789|776|416|360|0|0|103|347|326|271|0|271|280|225|5|74|100|139|126|124|98|110|743|2|7|0|0|24|776|0|9
Sul|Rio Grande do Sul|RS|1|5|UNIVERSIDADE DO VALE DO RIO DOS SINOS|UNISINOS|909|891|432|459|0|0|53|302|536|304|3|301|449|138|7|68|125|189|155|118|101|128|865|10|15|1|0|0|871|20|5
Sudeste|Rio de Janeiro|RJ|1|5|UNIVERSIDADE CATÓLICA DE PETRÓPOLIS|UCP|167|167|65|102|0|0|4|91|72|55|0|55|37|75|0|5|25|29|32|21|21|34|150|3|14|0|0|0|164|3|3
Sudeste|Minas Gerais|MG|1|1|UNIVERSIDADE FEDERAL DE UBERLÂNDIA|UFU|1913|1855|805|1050|0|12|17|119|1707|1836|1667|169|19|0|26|107|292|402|344|252|224|208|1461|46|214|37|1|96|1827|28|17
Sul|Rio Grande do Sul|RS|1|5|UNIVERSIDADE CATÓLICA DE PELOTAS|UCPEL|326|324|183|141|0|0|126|101|97|109|0|109|113|102|9|61|59|57|41|26|25|46|317|2|3|0|0|2|322|2|1
Sudeste|São Paulo|SP|1|5|PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS|PUC-CAMPINAS|794|777|366|411|0|0|110|237|430|267|0|267|173|337|8|34|86|120|103|126|97|203|361|1|3|2|0|410|769|8|2
Sul|Rio Grande do Sul|RS|1|5|UNIVERSIDADE DE PASSO FUNDO|UPF|671|635|307|328|0|0|115|249|271|214|0|214|263|158|13|63|96|111|105|98|76|73|632|1|2|0|0|0|630|5|9
Sul|Rio Grande do Sul|RS|1|5|PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL|PUCRS|944|944|368|576|0|0|21|239|684|335|89|246|389|220|2|38|86|153|153|145|138|229|924|5|12|3|0|0|930|14|7
Sudeste|São Paulo|SP|1|5|UNIVERSIDADE PRESBITERIANA MACKENZIE|MACKENZIE|1094|1094|410|684|0|0|7|295|792|474|0|474|422|198|6|48|83|147|187|168|185|270|923|16|110|39|1|5|1060|34|27
Sul|Rio Grande do Sul|RS|1|5|UNIVERSIDADE FEEVALE|FEEVALE|455|449|241|208|0|0|38|186|225|150|0|150|137|162|1|33|73|95|86|65|53|43|445|2|2|0|0|0|444|5|4
Nordeste|Bahia|BA|1|2|UNIVERSIDADE ESTADUAL DE SANTA CRUZ|UESC|751|692|345|347|0|7|31|171|483|678|537|141|14|0|3|22|60|95|136|140|108|128|47|9|55|1|1|579|667|25|1
