COD_IBGE;COD_SIAFI;NOME_MUNICIPIO;Nome_Simplificado;SIGLA_UF;NOME_UF;LAT;LNG;POP2013;CAPITAL;ALT;REGIAO;COD_UE_TSE_2016
1100015;0033;Alta Floresta D'Oeste;ALTA FLORESTA DOESTE;RO;Rondônia;-11.9355403;-61.9998239;25728;0;337.7357190000;N;00310
1100023;0007;Ariquemes;ARIQUEMES;RO;Rondônia;-9.908462867;-63.03326928;101269;0;138.6889810000;N;00078
1100031;0037;Cabixi;CABIXI;RO;Rondônia;-13.49976346;-60.54431358;6495;0;236.0631600000;N;00450
1100049;0009;Cacoal;CACOAL;RO;Rondônia;-11.43386503;-61.44294421;85863;0;177.4535470000;N;00094
1100056;0027;Cerejeiras;CEREJEIRAS;RO;Rondônia;-13.19503303;-60.81842616;18041;0;262.8113070000;N;00272
1100064;0023;Colorado do Oeste;COLORADO DO OESTE;RO;Rondônia;-13.13056384;-60.55506746;19190;0;419.0906130000;N;00230
1100072;0981;Corumbiara;CORUMBIARA;RO;Rondônia;-12.99752024;-60.94870117;9036;0;269.1711780000;N;00655
1100080;0021;Costa Marques;COSTA MARQUES;RO;Rondônia;-12.43601388;-64.23165394;15853;0;145.2139030000;N;00213
1100098;0025;Espigão D'Oeste;ESPIGAO DOESTE;RO;Rondônia;-11.52855463;-61.02017311;31699;0;262.5272250000;N;00256
1100106;0001;Guajará-Mirim;GUAJARA MIRIM;RO;Rondônia;-10.77388374;-65.32395182;45761;0;133.4143810000;N;00019
1100114;0015;Jaru;JARU;RO;Rondônia;-10.43594877;-62.47623071;55597;0;162.5513280000;N;00159
1100122;0005;Ji-Paraná;JI PARANA;RO;Rondônia;-10.88205132;-61.94509458;128026;0;157.2626730000;N;00051
1100130;0039;Machadinho D'Oeste;MACHADINHO DOESTE;RO;Rondônia;-9.42556248;-61.99959257;35633;0;144.1990900000;N;00396
1100148;0041;Nova Brasilândia D'Oeste;NOVA BRASILANDIA DOESTE;RO;Rondônia;-11.72132541;-62.30823016;21427;0;259.4174750000;N;00370
1100155;0017;Ouro Preto do Oeste;OURO PRETO DO OESTE;RO;Rondônia;-10.7235739;-62.26105519;40099;0;252.1676490000;N;00175
1100189;0011;Pimenta Bueno;PIMENTA BUENO;RO;Rondônia;-11.67753699;-61.18366567;36939;0;186.1740330000;N;00116
1100205;0003;Porto Velho;PORTO VELHO;RO;Rondônia;-8.76889179;-63.83144565;484992;1;86.8954150000;N;00035
1100254;0019;Presidente Médici;PRESIDENTE MEDICI;RO;Rondônia;-11.17320502;-61.90943868;23017;0;178.2223750000;N;00191
1100262;0687;Rio Crespo;RIO CRESPO;RO;Rondônia;-9.70553671;-62.90001037;3666;0;124.3222150000;N;00647
1100288;0029;Rolim de Moura;ROLIM DE MOURA;RO;Rondônia;-11.72225891;-61.78578094;55357;0;226.7111030000;N;00299
1100296;0043;Santa Luzia D'Oeste;SANTA LUZIA DOESTE;RO;Rondônia;-11.90842333;-61.77330546;8887;0;265.2341570000;N;00353
1100304;0013;Vilhena;VILHENA;RO;Rondônia;-12.74137347;-60.13858387;87727;0;595.0937690000;N;00132
1100320;0045;São Miguel do Guaporé;SAO MIGUEL DO GUAPORE;RO;Rondônia;-11.69948974;-62.72006348;23668;0;191.0826280000;N;00418
1100338;0047;Nova Mamoré;NOVA MAMORE;RO;Rondônia;-10.41177129;-65.32914902;26227;0;150.9306040000;N;00434
1100346;0035;Alvorada D'Oeste;ALVORADA DOESTE;RO;Rondônia;-11.34413002;-62.27727487;17399;0;182.4001300000;N;00337
1100379;0002;Alto Alegre dos Parecis;ALTO ALEGRE DOS PARECIS;RO;Rondônia;-12.13177722;-61.85307717;13827;0;396.5605440000;N;00736
1100403;0675;Alto Paraíso;ALTO PARAISO;RO;Rondônia;-9.716666738;-63.31762943;19459;0;128.0001120000;N;00639
1100452;0004;Buritis;BURITIS;RO;Rondônia;-10.20980541;-63.82967879;36555;0;153.1711660000;N;00779
1100502;0689;Novo Horizonte do Oeste;NOVO HORIZONTE DO OESTE;RO;Rondônia;-11.70974292;-61.99438766;10515;0;229.5117050000;N;00515
1100601;0677;Cacaulândia;CACAULANDIA;RO;Rondônia;-10.33887284;-62.90318993;6268;0;161.0565580000;N;00620
1100700;0679;Campo Novo de Rondônia;CAMPO NOVO DE RONDONIA;RO;Rondônia;-10.56841647;-63.62499143;13939;0;206.1489360000;N;00671
1100809;0681;Candeias do Jamari;CANDEIAS DO JAMARI;RO;Rondônia;-8.785020703;-63.70002007;22973;0;84.7502190000;N;00477
1100908;0691;Castanheiras;CASTANHEIRAS;RO;Rondônia;-11.42684223;-61.9491612;3689;0;214.9953940000;N;00531
1100924;0006;Chupinguaia;CHUPINGUAIA;RO;Rondônia;-12.55684076;-60.90184775;9636;0;340.2996310000;N;00809
1100940;0008;Cujubim;CUJUBIM;RO;Rondônia;-9.378193399;-62.58717453;19410;0;110.9598940000;N;00680
1101005;0693;Governador Jorge Teixeira;GOVERNADOR JORGE TEIXEIRA;RO;Rondônia;-10.61207177;-62.74045764;10534;0;201.7810080000;N;00612
1101104;0683;Itapuã do Oeste;ITAPUA DO OESTE;RO;Rondônia;-9.191871675;-63.18233702;9661;0;98.9510800000;N;00493
1101203;0695;Ministro Andreazza;MINISTRO ANDREAZZA;RO;Rondônia;-11.19623798;-61.51892193;10899;0;266.2915260000;N;00604
1101302;0697;Mirante da Serra;MIRANTE DA SERRA;RO;Rondônia;-11.04560929;-62.6694271;12469;0;211.8156430000;N;00574
1101401;0685;Monte Negro;MONTE NEGRO;RO;Rondônia;-10.26309776;-63.29555917;15541;0;155.4003370000;N;00663
1101435;0010;Nova União;NOVA UNIAO;RO;Rondônia;-10.91553204;-62.5550894;7883;0;241.4937240000;N;00744
1101450;0012;Parecis;PARECIS;RO;Rondônia;-12.17982705;-61.59799797;5477;0;296.2828380000;N;00701
1101468;0014;Pimenteiras do Oeste;PIMENTEIRAS DO OESTE;RO;Rondônia;-13.476562;-61.044379;2440;0;170.2555290000;N;00787
1101476;0016;Primavera de Rondônia;PRIMAVERA DE RONDONIA;RO;Rondônia;-11.82570695;-61.31654624;3597;0;244.5673510000;N;00728
1101484;0018;São Felipe D'Oeste;SAO FELIPE DOESTE;RO;Rondônia;-11.91438935;-61.51250811;6219;0;269.7267670000;N;00710
1101492;0020;São Francisco do Guaporé;SAO FRANCISCO DO GUAPORE;RO;Rondônia;-12.06379841;-63.57086471;18265;0;165.6937260000;N;00795
1101500;0699;Seringueiras;SERINGUEIRAS;RO;Rondônia;-11.76711664;-63.038761;12505;0;185.8308780000;N;00582
1101559;0022;Teixeirópolis;TEIXEIROPOLIS;RO;Rondônia;-10.93216929;-62.25592225;5080;0;191.3493600000;N;00752
1101609;0975;Theobroma;THEOBROMA;RO;Rondônia;-10.24873055;-62.34514553;11343;0;191.5985480000;N;00590
1101708;0977;Urupá;URUPA;RO;Rondônia;-11.12854528;-62.37063245;13491;0;197.1700240000;N;00566
1101757;0024;Vale do Anari;VALE DO ANARI;RO;Rondônia;-9.851392708;-62.17682344;10518;0;157.6653530000;N;00698
1101807;0979;Vale do Paraíso;VALE DO PARAISO;RO;Rondônia;-10.43105268;-62.13439036;8425;0;153.9944740000;N;00558
1200013;0643;Acrelândia;ACRELANDIA;AC;Acre;-10.07379389;-67.05231658;13353;0;205.8940140000;N;01120
1200054;0157;Assis Brasil;ASSIS BRASIL;AC;Acre;-10.94286568;-69.56345917;6480;0;234.8668350000;N;01570
1200104;0105;Brasiléia;BRASILEIA;AC;Acre;-11.01641102;-68.74794343;22899;0;188.3241390000;N;01058
1200138;0645;Bujari;BUJARI;AC;Acre;-9.820019627;-67.95185928;9003;0;198.1741970000;N;01007
1200179;0647;Capixaba;CAPIXABA;AC;Acre;-10.56976771;-67.67350797;9836;0;212.3033090000;N;01015
1200203;0107;Cruzeiro do Sul;CRUZEIRO DO SUL;AC;Acre;-7.630690005;-72.67253132;80377;0;183.0795250000;N;01074
1200252;0651;Epitaciolândia;EPITACIOLANDIA;AC;Acre;-11.02823983;-68.74486807;16099;0;206.0361260000;N;01112
1200302;0113;Feijó;FEIJO;AC;Acre;-8.16024753;-70.35398361;32411;0;159.8224970000;N;01139
1200328;0653;Jordão;JORDAO;AC;Acre;-9.19335786;-71.95087512;7147;0;264.9778810000;N;01104
1200336;0109;Mâncio Lima;MANCIO LIMA;AC;Acre;-7.593222594;-72.91650103;16410;0;187.0659980000;N;01090
1200344;0155;Manoel Urbano;MANOEL URBANO;AC;Acre;-8.836317737;-69.25994458;8386;0;162.1338210000;N;01554
1200351;0655;Marechal Thaumaturgo;MARECHAL THAUMATURGO;AC;Acre;-8.953591123;-72.79026591;15857;0;214.9106050000;N;01040
1200385;0151;Plácido de Castro;PLACIDO DE CASTRO;AC;Acre;-10.33513328;-67.18826009;17795;0;129.1894840000;N;01511
1200393;0657;Porto Walter;PORTO WALTER;AC;Acre;-8.266666363;-72.74233396;10143;0;201.8059610000;N;01066
1200401;0139;Rio Branco;RIO BRANCO;AC;Acre;-9.978298753;-67.8105287;357194;1;137.8657460000;N;01392
1200427;0659;Rodrigues Alves;RODRIGUES ALVES;AC;Acre;-7.733602034;-72.64785491;15968;0;189.5854260000;N;01082
1200435;0661;Santa Rosa do Purus;SANTA ROSA DO PURUS;AC;Acre;-9.443406537;-70.48649689;5374;0;216.7242300000;N;01031
1200450;0153;Senador Guiomard;SENADOR GUIOMARD;AC;Acre;-10.14817359;-67.74317236;20799;0;207.9247970000;N;01538
1200500;0145;Sena Madureira;SENA MADUREIRA;AC;Acre;-9.065339505;-68.65568406;40311;0;132.1330340000;N;01457
1200609;0147;Tarauacá;TARAUACA;AC;Acre;-8.155668592;-70.75550106;37571;0;172.1444660000;N;01473
1200708;0149;Xapuri;XAPURI;AC;Acre;-10.65207194;-68.50629481;17021;0;173.2816430000;N;01490
1200807;0649;Porto Acre;PORTO ACRE;AC;Acre;-9.600858231;-67.54059008;16029;0;134.3227930000;N;01023
1300029;0289;Alvarães;ALVARAES;AM;Amazonas;-3.216583769;-64.81353468;15166;0;46.1160140000;N;02895
1300060;0291;Amaturá;AMATURA;AM;Amazonas;-3.366805188;-68.20961464;10436;0;73.4477080000;N;02917
1300086;0293;Anamã;ANAMA;AM;Amazonas;-3.576370427;-61.40590348;11636;0;21.6137480000;N;02933
1300102;0203;Anori;ANORI;AM;Amazonas;-3.745385586;-61.65895538;18351;0;20.3462460000;N;02038
1300144;0969;Apuí;APUI;AM;Amazonas;-7.197870152;-59.8856661;19860;0;132.9811100000;N;02003
1300201;0205;Atalaia do Norte;ATALAIA DO NORTE;AM;Amazonas;-4.36615749;-70.18798928;17174;0;76.0166380000;N;02054
1300300;0207;Autazes;AUTAZES;AM;Amazonas;-3.578663642;-59.13356709;35554;0;20.4915510000;N;02070
1300409;0209;Barcelos;BARCELOS;AM;Amazonas;-0.972801053;-62.92566966;27110;0;35.3619600000;N;02097
1300508;0211;Barreirinha;BARREIRINHA;AM;Amazonas;-2.798149837;-57.06775049;29737;0;11.2346090000;N;02119
1300607;0213;Benjamin Constant;BENJAMIN CONSTANT;AM;Amazonas;-4.374989019;-70.02734843;37564;0;69.8038110000;N;02135
1300631;0295;Beruri;BERURI;AM;Amazonas;-3.89451341;-61.37157089;17332;0;22.8620030000;N;02950
1300680;0297;Boa Vista do Ramos;BOA VISTA DO RAMOS;AM;Amazonas;-2.971726532;-57.58770735;16820;0;23.0180480000;N;02976
1300706;0215;Boca do Acre;BOCA DO ACRE;AM;Amazonas;-8.751243196;-67.39957776;32792;0;106.7660330000;N;02151
1300805;0217;Borba;BORBA;AM;Amazonas;-4.390619891;-59.59455902;38073;0;29.0149050000;N;02178
1300839;0299;Caapiranga;CAAPIRANGA;AM;Amazonas;-3.330093392;-61.21133413;12004;0;20.1668400000;N;02992
1300904;0219;Canutama;CANUTAMA;AM;Amazonas;-6.529106076;-64.39423082;14754;0;52.0089630000;N;02194
1301001;0221;Carauari;CARAUARI;AM;Amazonas;-4.881665904;-66.89663528;27405;0;66.1579600000;N;02216
1301100;0223;Careiro;CAREIRO;AM;Amazonas;-3.82244727;-60.36380984;35431;0;25.1753840000;N;02232
1301159;0965;Careiro da Várzea;CAREIRO DA VARZEA;AM;Amazonas;-3.197396595;-59.82631406;26722;0;19.2285590000;N;02046
1301209;0225;Coari;COARI;AM;Amazonas;-4.084219159;-63.14218398;81325;0;37.9399470000;N;02259
1301308;0227;Codajás;CODAJAS;AM;Amazonas;-3.843045933;-62.06342966;25696;0;28.1553670000;N;02275
1301407;0229;Eirunepé;EIRUNEPE;AM;Amazonas;-6.667352567;-69.86629026;33127;0;122.1743990000;N;02291
1301506;0231;Envira;ENVIRA;AM;Amazonas;-7.439817544;-70.03041254;18051;0;137.3963010000;N;02313
1301605;0233;Fonte Boa;FONTE BOA;AM;Amazonas;-2.512270685;-66.09650299;21859;0;58.1470190000;N;02330
1301654;0967;Guajará;GUAJARA;AM;Amazonas;-7.547774415;-72.58243054;15291;0;182.7512460000;N;02020
1301704;0235;Humaitá;HUMAITA;AM;Amazonas;-7.512224951;-63.02669802;49137;0;55.0174520000;N;02356
1301803;0239;Ipixuna;IPIXUNA;AM;Amazonas;-7.050980114;-71.69441806;25362;0;156.3279620000;N;02399
1301852;9835;Iranduba;IRANDUBA;AM;Amazonas;-3.281053878;-60.19338817;44503;0;43.2231180000;N;98353
1301902;0241;Itacoatiara;ITACOATIARA;AM;Amazonas;-3.140378804;-58.44017544;94278;0;21.6594180000;N;02410
1301951;9837;Itamarati;ITAMARATI;AM;Amazonas;-6.437799349;-68.24791744;8232;0;112.6521640000;N;98370
1302009;0243;Itapiranga;ITAPIRANGA;AM;Amazonas;-2.741842752;-58.03454588;8774;0;69.2687090000;N;02437
